iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,10367775,tonnes,annual,2024-04-18 19:20:34.05332,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,12571690,tonnes,annual,2024-04-18 19:20:34.063665,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,9329051,tonnes,annual,2024-04-18 19:20:34.074456,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,9638555,tonnes,annual,2024-04-18 19:20:34.084721,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,6349738,tonnes,annual,2024-04-18 19:20:34.095377,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,5643056,tonnes,annual,2024-04-18 19:20:34.106253,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,7627075,tonnes,annual,2024-04-18 19:20:34.116824,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,7816318,tonnes,annual,2024-04-18 19:20:34.127719,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,5615619,tonnes,annual,2024-04-18 19:20:34.138122,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,5605587,tonnes,annual,2025-02-28 00:00:00,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,4687723,tonnes,annual,2026-01-27 00:00:00,2026-03-14 20:46:08.333882
DNK,power,electricity-generation,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,437613,tonnes,annual,2026-02-25 00:00:00,2026-03-14 20:46:08.333882
