iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,power,heat-plants,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,1033876.9999999997,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1039510.0000000001,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,861340.9999999997,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,885496.0000000001,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,680780,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,627975.9999999999,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,601826,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,496302.9999999998,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,494876.00000000006,tonnes,annual,2024-09-09 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,494876.00000000006,tonnes,annual,2025-10-06 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,494876.00000000006,tonnes,annual,2025-10-06 00:00:00,2026-03-14 20:46:08.333882
DNK,power,heat-plants,2026-01-01 00:00:00,2026-12-31 00:00:00,co2,41239.666666666664,tonnes,annual,2025-10-06 00:00:00,2026-03-14 20:46:08.333882
