iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,714328.31121891,,annual,,
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,722240.5361952003,,annual,,
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,750447.3382277136,,annual,,
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,730382.7677114992,,annual,,
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,740415.0529696064,,annual,,
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,740345.0509791691,,annual,,
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,748439.0,,annual,,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,747657.0,,annual,,
ABW,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,747657.0,,annual,,
ABW,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,749610.0,,annual,,
ABW,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,747657.0,,annual,,
ABW,power,electricity-generation,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,63720.0,,annual,,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,42971.0,,annual,,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,52148.0,,annual,,
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,52017.0,,annual,,
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,67728.0,,annual,,
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,86628.0,,annual,,
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,84287.0,,annual,,
AFG,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,84075.0,,annual,,
AFG,power,electricity-generation,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,6574.0,,annual,,
AGO,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,6637232.0,,annual,,
AGO,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,6798964.0,,annual,,
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,4576817.0,,annual,,
